Loaded module: cuda/10.2
Loaded dependency [gcc/8.3.0]: binutils/2.29
Loaded module: gcc/8.3.0
 98304.000 120223.718 # matmult_gpu2
 98304.000  71328.633 # matmult_gpu4
 98304.000  68440.470 # matmult_gpu4
 98304.000  45568.837 # matmult_gpu4
 98304.000  27933.059 # matmult_gpu4
 98304.000  14047.236 # matmult_gpu4
 98304.000  12294.905 # matmult_gpu4
 98304.000  11147.101 # matmult_gpu4
 98304.000  12055.379 # matmult_gpu4
 98304.000  10252.487 # matmult_gpu4
 98304.000  10399.417 # matmult_gpu4
 98304.000  10106.607 # matmult_gpu4
 98304.000  10414.174 # matmult_gpu4
 98304.000  10132.746 # matmult_gpu4
 98304.000  10248.475 # matmult_gpu4
 98304.000  10344.675 # matmult_gpu4
 98304.000  10692.189 # matmult_gpu4
 98304.000 397809.542 # matmult_gpu2
 98304.000 246500.152 # matmult_gpu4
 98304.000 238142.413 # matmult_gpu4
 98304.000 179296.594 # matmult_gpu4
 98304.000 125902.131 # matmult_gpu4
 98304.000  68215.458 # matmult_gpu4
 98304.000  57689.264 # matmult_gpu4
 98304.000  52866.153 # matmult_gpu4
 98304.000  58597.136 # matmult_gpu4
 98304.000  50241.307 # matmult_gpu4
 98304.000  52453.106 # matmult_gpu4
 98304.000  51503.325 # matmult_gpu4
 98304.000  53346.812 # matmult_gpu4
 98304.000  51223.991 # matmult_gpu4
 98304.000  51275.972 # matmult_gpu4
 98304.000  54067.735 # matmult_gpu4
 98304.000  59502.914 # matmult_gpu4
 98304.000 661574.453 # matmult_gpu2
 98304.000 301961.926 # matmult_gpu4
 98304.000 262411.606 # matmult_gpu4
 98304.000 124230.591 # matmult_gpu4
 98304.000  90495.562 # matmult_gpu4
 98304.000  77491.455 # matmult_gpu4
 98304.000  73084.630 # matmult_gpu4
 98304.000  72261.092 # matmult_gpu4
 98304.000  78743.110 # matmult_gpu4
 98304.000  73095.199 # matmult_gpu4
 98304.000  78302.383 # matmult_gpu4
 98304.000  74236.702 # matmult_gpu4
 98304.000  73971.397 # matmult_gpu4
 98304.000  79202.699 # matmult_gpu4
 98304.000  73513.697 # matmult_gpu4
 98304.000  72288.761 # matmult_gpu4
 98304.000  83798.040 # matmult_gpu4
 98304.000 844794.697 # matmult_gpu2
 98304.000 310598.377 # matmult_gpu4
 98304.000 292586.822 # matmult_gpu4
 98304.000 107076.265 # matmult_gpu4
 98304.000  96663.745 # matmult_gpu4
 98304.000  67185.456 # matmult_gpu4
 98304.000  65950.311 # matmult_gpu4
 98304.000  62917.212 # matmult_gpu4
 98304.000  73928.106 # matmult_gpu4
 98304.000  62425.680 # matmult_gpu4
 98304.000  68714.209 # matmult_gpu4
 98304.000  65817.414 # matmult_gpu4
 98304.000  61565.089 # matmult_gpu4
 98304.000  70545.144 # matmult_gpu4
 98304.000  66742.260 # matmult_gpu4
 98304.000  63995.063 # matmult_gpu4
 98304.000  76641.731 # matmult_gpu4
 98304.000 825393.471 # matmult_gpu2
 98304.000 310531.062 # matmult_gpu4
 98304.000 292099.352 # matmult_gpu4
 98304.000  70176.006 # matmult_gpu4
 98304.000  63869.698 # matmult_gpu4
 98304.000  52890.402 # matmult_gpu4
 98304.000  54878.790 # matmult_gpu4
 98304.000  52866.151 # matmult_gpu4
 98304.000  66437.711 # matmult_gpu4
 98304.000  52577.514 # matmult_gpu4
 98304.000  54932.836 # matmult_gpu4
 98304.000  54436.587 # matmult_gpu4
 98304.000  51582.345 # matmult_gpu4
 98304.000  47898.931 # matmult_gpu4
 98304.000  47021.350 # matmult_gpu4
 98304.000  43697.427 # matmult_gpu4
 98304.000  65355.954 # matmult_gpu4
