Loaded module: cuda/10.2
Loaded dependency [gcc/8.3.0]: binutils/2.29
Loaded module: gcc/8.3.0
 24576.000  52046.133 # matmult_gpu2
 24576.000  62216.766 # matmult_gpu4
 24576.000  52224.598 # matmult_gpu4
 24576.000  46787.006 # matmult_gpu4
 24576.000  52464.476 # matmult_gpu4
 24576.000  42901.514 # matmult_gpu4
 24576.000  40954.284 # matmult_gpu4
 24576.000  39948.608 # matmult_gpu4
 24576.000  37955.391 # matmult_gpu4
 24576.000  38439.114 # matmult_gpu4
 24576.000  37458.192 # matmult_gpu4
 24576.000  38310.196 # matmult_gpu4
 24576.000  39366.425 # matmult_gpu4
 24576.000  40030.529 # matmult_gpu4
 24576.000  39547.666 # matmult_gpu4
 24576.000  38427.414 # matmult_gpu4
 24576.000  39576.834 # matmult_gpu4
 24576.000 161256.916 # matmult_gpu2
 24576.000  98793.261 # matmult_gpu4
 24576.000  65031.618 # matmult_gpu4
 24576.000  54842.699 # matmult_gpu4
 24576.000  52803.742 # matmult_gpu4
 24576.000  44270.568 # matmult_gpu4
 24576.000  43400.906 # matmult_gpu4
 24576.000  37928.570 # matmult_gpu4
 24576.000  32654.347 # matmult_gpu4
 24576.000  28355.928 # matmult_gpu4
 24576.000  26128.552 # matmult_gpu4
 24576.000  15382.342 # matmult_gpu4
 24576.000  18682.845 # matmult_gpu4
 24576.000  14834.564 # matmult_gpu4
 24576.000  20202.456 # matmult_gpu4
 24576.000  18311.809 # matmult_gpu4
 24576.000  37413.157 # matmult_gpu4
 24576.000 137305.761 # matmult_gpu2
 24576.000  95916.236 # matmult_gpu4
 24576.000  60805.677 # matmult_gpu4
 24576.000  45912.737 # matmult_gpu4
 24576.000  56785.977 # matmult_gpu4
 24576.000  26091.096 # matmult_gpu4
 24576.000  33822.839 # matmult_gpu4
 24576.000  14221.826 # matmult_gpu4
 24576.000  18773.655 # matmult_gpu4
 24576.000  11863.229 # matmult_gpu4
 24576.000  13453.295 # matmult_gpu4
 24576.000  13466.537 # matmult_gpu4
 24576.000  15324.047 # matmult_gpu4
 24576.000  14827.294 # matmult_gpu4
 24576.000  18750.705 # matmult_gpu4
 24576.000  18515.643 # matmult_gpu4
 24576.000  30205.341 # matmult_gpu4
 24576.000  79105.373 # matmult_gpu2
 24576.000  50853.114 # matmult_gpu4
 24576.000  43543.513 # matmult_gpu4
 24576.000  21935.222 # matmult_gpu4
 24576.000  44676.745 # matmult_gpu4
 24576.000  20160.730 # matmult_gpu4
 24576.000  21196.493 # matmult_gpu4
 24576.000  14093.306 # matmult_gpu4
 24576.000  17518.875 # matmult_gpu4
 24576.000  12618.587 # matmult_gpu4
 24576.000  16512.353 # matmult_gpu4
 24576.000  16493.585 # matmult_gpu4
 24576.000  19735.700 # matmult_gpu4
 24576.000  19488.536 # matmult_gpu4
 24576.000  23357.407 # matmult_gpu4
 24576.000  23001.406 # matmult_gpu4
 24576.000  29747.596 # matmult_gpu4
 24576.000  43201.845 # matmult_gpu2
 24576.000  36437.475 # matmult_gpu4
 24576.000  23622.043 # matmult_gpu4
 24576.000   8876.608 # matmult_gpu4
 24576.000  12282.273 # matmult_gpu4
 24576.000  10561.456 # matmult_gpu4
 24576.000  11818.442 # matmult_gpu4
 24576.000  11830.227 # matmult_gpu4
 24576.000   9158.684 # matmult_gpu4
 24576.000  11190.630 # matmult_gpu4
 24576.000  14060.179 # matmult_gpu4
 24576.000  16416.419 # matmult_gpu4
 24576.000  20532.569 # matmult_gpu4
 24576.000  22244.462 # matmult_gpu4
 24576.000  23157.421 # matmult_gpu4
 24576.000  20009.883 # matmult_gpu4
 24576.000  18952.936 # matmult_gpu4
Loaded module: cuda/10.2
Loaded dependency [gcc/8.3.0]: binutils/2.29
Loaded module: gcc/8.3.0
 98304.000 117636.370 # matmult_gpu2
 98304.000  70873.125 # matmult_gpu4
 98304.000  68843.352 # matmult_gpu4
 98304.000  45276.886 # matmult_gpu4
 98304.000  27898.814 # matmult_gpu4
 98304.000  14070.256 # matmult_gpu4
 98304.000  12274.201 # matmult_gpu4
 98304.000  11124.674 # matmult_gpu4
 98304.000  12069.073 # matmult_gpu4
 98304.000  10266.659 # matmult_gpu4
 98304.000  10395.629 # matmult_gpu4
 98304.000  10120.074 # matmult_gpu4
 98304.000  10437.902 # matmult_gpu4
 98304.000  10123.521 # matmult_gpu4
 98304.000  10232.946 # matmult_gpu4
 98304.000  10325.737 # matmult_gpu4
 98304.000  10626.733 # matmult_gpu4
 98304.000 328366.706 # matmult_gpu2
 98304.000 211405.107 # matmult_gpu4
 98304.000 239046.994 # matmult_gpu4
 98304.000 178199.332 # matmult_gpu4
 98304.000 122996.985 # matmult_gpu4
 98304.000  67642.831 # matmult_gpu4
 98304.000  58138.076 # matmult_gpu4
 98304.000  52695.889 # matmult_gpu4
 98304.000  59573.891 # matmult_gpu4
 98304.000  50923.208 # matmult_gpu4
 98304.000  51668.134 # matmult_gpu4
 98304.000  51087.509 # matmult_gpu4
 98304.000  53088.491 # matmult_gpu4
 98304.000  51444.410 # matmult_gpu4
 98304.000  51776.199 # matmult_gpu4
 98304.000  54864.420 # matmult_gpu4
 98304.000  58748.021 # matmult_gpu4
 98304.000 659339.856 # matmult_gpu2
 98304.000 296853.846 # matmult_gpu4
 98304.000 261123.362 # matmult_gpu4
 98304.000 122707.078 # matmult_gpu4
 98304.000  90469.333 # matmult_gpu4
 98304.000  77146.270 # matmult_gpu4
 98304.000  73042.371 # matmult_gpu4
 98304.000  72178.818 # matmult_gpu4
 98304.000  78912.019 # matmult_gpu4
 98304.000  73162.439 # matmult_gpu4
 98304.000  77882.804 # matmult_gpu4
 98304.000  73051.375 # matmult_gpu4
 98304.000  70875.753 # matmult_gpu4
 98304.000  79120.624 # matmult_gpu4
 98304.000  74519.100 # matmult_gpu4
 98304.000  72182.838 # matmult_gpu4
 98304.000  83715.560 # matmult_gpu4
 98304.000 842556.990 # matmult_gpu2
 98304.000 309970.726 # matmult_gpu4
 98304.000 291366.122 # matmult_gpu4
 98304.000 106987.578 # matmult_gpu4
 98304.000  96847.377 # matmult_gpu4
 98304.000  66080.447 # matmult_gpu4
